92327	aerodynamics	engineering
92365	aerodynamics	mathematics
92271	aerodynamics	engineering science
92221	aerodynamics	physics
92222	aerodynamics	aerospace engineering
99092	aerospace engineering	engineering
66301	african history	history
23581	agronomy	animal science
23668	agronomy	botany
23774	agronomy	social science
23577	agronomy	science
141493	air traffic control	communication
110921	algebra	quantum physics
110928	algebra	chemistry
110781	algebra	computer science
110843	algebra	economic theory
110856	algebra	mathematics
15100	algebraic geometry	physics
15127	algebraic geometry	algebra
15244	algebraic geometry	mathematics
156393	algorithms	applied mathematics
156407	algorithms	mathematics
901	american politics	political science
81566	american studies	humanities
81572	american studies	ethnic studies
5698	analysis	computer science
5537	analysis	science
5773	analysis	mathematics
5751	analysis	genetics
5735	analysis	engineering
144302	analytical chemistry	chemistry
181306	ancient history	history
45257	ancient philosophy	history of philosophy
45282	ancient philosophy	philosophy
58756	animal science	science
58812	animal science	philosophy
184508	anthropological linguistics	linguistics
171316	anthropology	psychology
171327	anthropology	religion
171362	anthropology	chemistry
171315	anthropology	humanities
171320	anthropology	composition
109642	applied linguistics	linguistics
157309	applied mathematics	mathematics
13853	aquatic ecology	engineering
13680	aquatic ecology	oceanography
13575	aquatic ecology	ecology
167766	artificial intelligence	software engineering
167720	artificial intelligence	philosophy of science
167708	artificial intelligence	psychology
137108	asian history	history
96731	astronomy and astrophysics	physics
10139	astrophysics and astronomy	physics
10047	astrophysics and astronomy	science
178271	atmospheric sciences	science
103071	bacteriology	microbiology
103225	bacteriology	pathology
74294	behavioral ecology	communication
74362	behavioral ecology	religion
74010	behavioral ecology	ecology
89685	behavioral economics	psychology
89646	behavioral economics	economic theory
89309	behavioral economics	economics
106563	biochemical nutrition	nutrition
37107	biochemistry	science
37199	biochemistry	physics
37215	biochemistry	cell biology
37389	biochemistry	plant science
37415	biochemistry	chemistry
181860	biogeochemistry	geochemistry
182186	biogeochemistry	chemistry
130746	biological engineering	plant science
130662	biological engineering	engineering
127118	biological psychology	psychology
89280	biomaterials	chemistry
89170	biomaterials	engineering
89069	biomaterials	materials science
145545	biomechanical engineering	engineering
145448	biomechanical engineering	mechanical engineering
169794	biophysics	physics
170009	biophysics	chemistry
98300	botany	chemistry
98148	botany	geology
98206	botany	genetics
98313	botany	geography
98265	botany	religion
66991	cancer biology	microbiology
105777	cell biology	microbiology
105857	cell biology	engineering
105873	cell biology	genetics
105967	cell biology	chemistry
28538	cellular neuroscience	science
28421	cellular neuroscience	neuroscience
137731	cellular physiology	physiology
203274	chemical engineering	engineering
196180	chemistry	geography
10498	civil engineering	science
10696	civil engineering	engineering
10734	civil engineering	mathematics
125834	classical archaeology and art history	classics
27516	classical literature and philology	classics
2646	classics	composition
2288	classics	music
2450	classics	networks
2266	classics	analysis
2641	classics	humanities
151531	climate	geography
166997	clinical nutrition	nutrition
79312	clinical psychology	psychology
