mass-communication	humanities
physical-science	religion
behavioral-ecology	religion
comparative-politics	genetics
classical-archaeology-and-art-history	classics
thermodynamics	chemical-engineering
astrodynamics	music
ethnomusicology	music
playwriting	music
transport-phenomena	physical-chemistry
literature-in-english,-north-america	science
applied-mechanics	science
logic-and-foundations	science
race-and-ethnicity	analysis
operational-research	mathematics
nutrition	instrumentation
cultural-history	public-health
motor-control	communication
air-traffic-control	communication
public-affairs	communication
public-policy	communication
digital-circuits	electrical-engineering
circuits	electrical-engineering
tribology	applied-mechanics
Elements Taxonomy:341.0465.0
Correct: 148
Precision: 0.4340175953079179
Recall: 0.31827956989247314
F1: 0.36724565756823824
