compilers	computer_engineering
behavioral_ecology	religion
physical_science	religion
energy_systems	analysis
race_and_ethnicity	analysis
sociology_of_culture	analysis
cultural_history	public_health
classics	humanities
history	humanities
astrodynamics	music
theatre	communication
music	communication
os	communication
syntax	communication
graphics	communication
mineral_physics	physics
microbial_physiology	physiology
aquatic_ecology	engineering
instrumentation	engineering
molecular_neuroscience	science
systems_neuroscience	science
dairy_science	science
developmental_neuroscience	science
wood_science	science
cellular_neuroscience	science
methodologies	science
poultry_science	science
probability	mathematics
nutrition	instrumentation
paleobiology	environmental_sciences
Elements Taxonomy:339.0465.0
Correct: 151
Precision: 0.44542772861356933
Recall: 0.3247311827956989
F1: 0.3756218905472637
