nutrition	instrumentation
methodologies	science
metallurgy	science
networking	computer-science
semantics	computer-science
algorithms	computer-science
classics	humanities
mass-communication	humanities
international-relations	humanities
history	humanities
geography	humanities
religion	humanities
botany	genetics
analysis	mathematics
composition	chemistry
information-systems	analysis
phonetics	analysis
pathology	analysis
toxicology	analysis
virology	analysis
astrodynamics	music
playwriting	music
archaeological	history
biomechanics	mechanical-engineering
os	communication
graphics	communication
syntax	communication
motor-control	communication
music	communication
theatre	communication
networks	communication
communication	engineering
ergonomics	engineering
Elements Taxonomy:334.0465.0
Correct: 148
Precision: 0.4431137724550898
Recall: 0.31827956989247314
F1: 0.37046307884856067
