compilers	computer_engineering
cultural_history	public_health
energy_systems	analysis
race_and_ethnicity	analysis
sociology_of_culture	analysis
nutrition	instrumentation
paleobiology	environmental_sciences
astrodynamics	music
molecular_neuroscience	science
systems_neuroscience	science
dairy_science	science
developmental_neuroscience	science
probability	mathematics
theatre	communication
music	communication
os	communication
syntax	communication
graphics	communication
aquatic_ecology	engineering
behavioral_ecology	religion
physical_science	religion
microbial_physiology	physiology
Elements Taxonomy:346.0465.0
Correct: 153
Precision: 0.4421965317919075
Recall: 0.32903225806451614
F1: 0.37731196054254007
