mass-communication	humanities
plant-breeding	plant-science
race-and-ethnicity	analysis
information-systems	analysis
energy-systems	analysis
digital-circuits	electrical-engineering
circuits	electrical-engineering
thermodynamics	chemical-engineering
literature-in-english,-north-america	science
applied-mechanics	science
logic-and-foundations	science
classical-archaeology-and-art-history	classics
transport-phenomena	physical-chemistry
physical-science	religion
behavioral-ecology	religion
population-biology	neuroscience
motor-control	communication
air-traffic-control	communication
public-affairs	communication
public-policy	communication
cultural-history	public-health
operational-research	mathematics
ordinary-differential-equations	mathematics
multidisciplinary-design-optimization	mathematics
partial-differential-equations	mathematics
statistics-and-probability	mathematics
tribology	applied-mechanics
nutrition	instrumentation
artificial-intelligence	computer-science
astrodynamics	music
ethnomusicology	music
playwriting	music
comparative-politics	genetics
Elements Taxonomy:332.0465.0
Correct: 146
Precision: 0.4397590361445783
Recall: 0.3139784946236559
F1: 0.3663739021329988
