nutrition	instrumentation
morphology	linguistics
circuits	electrical-engineering
archaeological	history
networking	computer-science
semantics	computer-science
algorithms	computer-science
entomology	horticulture
probability	mathematics
analysis	mathematics
composition	chemistry
ergonomics	engineering
communication	engineering
international-relations	humanities
mass-communication	humanities
classics	humanities
musicology	humanities
history	humanities
geography	humanities
religion	humanities
information-systems	analysis
phonetics	analysis
toxicology	analysis
pathology	analysis
virology	analysis
astrodynamics	music
epidemiology	neuroscience
biomechanics	mechanical-engineering
climate	ecology
ethics	religion
metaphysics	religion
os	communication
syntax	communication
theatre	communication
graphics	communication
music	communication
networks	communication
public-policy	communication
public-affairs	communication
public-health	public-affairs
methodologies	science
metallurgy	science
electromagnetics	science
physiology	science
botany	genetics
Elements Taxonomy:350.0465.0
Correct: 151
Precision: 0.43142857142857144
Recall: 0.3247311827956989
F1: 0.3705521472392638
