compilers	computer_engineering
cultural_history	public_health
energy_systems	analysis
race_and_ethnicity	analysis
sociology_of_culture	analysis
nutrition	instrumentation
networking	computer_science
paleobiology	environmental_sciences
astrodynamics	music
classics	humanities
history	humanities
religion	humanities
geography	humanities
molecular_neuroscience	science
systems_neuroscience	science
dairy_science	science
developmental_neuroscience	science
wood_science	science
cellular_neuroscience	science
methodologies	science
poultry_science	science
probability	mathematics
comparative_literature	classics
ancient_history	classics
ancient_philosophy	classics
theatre	communication
music	communication
os	communication
syntax	communication
graphics	communication
air_traffic_control	communication
mineral_physics	physics
immunopathology	pathology
plant_pathology	pathology
aquatic_ecology	engineering
instrumentation	engineering
behavioral_ecology	religion
physical_science	religion
microbial_physiology	physiology
Elements Taxonomy:331.0465.0
Correct: 148
Precision: 0.4471299093655589
Recall: 0.31827956989247314
F1: 0.3718592964824121
