entomology	horticulture
metaphysics	physics
cosmology	physics
optics	physics
geophysics	physics
biophysics	physics
manufacturing	engineering
instrumentation	engineering
communication	engineering
aerodynamics	engineering
ergonomics	engineering
ecology	engineering
oceanography	engineering
kinesiology	engineering
robotics	engineering
biomaterials	engineering
biomedical	engineering
methodologies	science
electromagnetics	science
metallurgy	science
engineering	science
geology	science
physiology	science
geophysics	science
mathematics	science
humanities	science
neuroscience	science
microbiology	science
zoology	science
ethics	religion
metaphysics	religion
phonetics	analysis
toxicology	analysis
pathology	analysis
virology	analysis
morphology	linguistics
phonology	linguistics
probability	mathematics
analysis	mathematics
algebra	mathematics
chemistry	mathematics
archaeological	history
botany	genetics
astrodynamics	music
ethnomusicology	music
playwriting	music
climate	ecology
meteorology	oceanography
classics	humanities
history	humanities
geography	humanities
religion	humanities
theology	humanities
musicology	humanities
philosophy	humanities
linguistics	humanities
psychology	humanities
sociology	humanities
composition	chemistry
cosmochemistry	chemistry
pharmacology	chemistry
biostatistics	epidemiology
immunopathology	pathology
theatre	communication
music	communication
networks	communication
syntax	communication
graphics	communication
os	communication
genetics	biochemistry
immunology	biochemistry
nutrition	instrumentation
epidemiology	neuroscience
biogeochemistry	geochemistry
Elements Taxonomy:291.0465.0
Correct: 138
Precision: 0.4742268041237113
Recall: 0.2967741935483871
F1: 0.36507936507936506
