transport-phenomena	physical-chemistry
tribology	applied-mechanics
nutrition	instrumentation
physical-science	religion
behavioral-ecology	religion
classical-archaeology-and-art-history	classics
comparative-politics	genetics
astrodynamics	music
ethnomusicology	music
playwriting	music
cultural-history	public-health
operational-research	mathematics
ordinary-differential-equations	mathematics
digital-circuits	electrical-engineering
circuits	electrical-engineering
thermodynamics	chemical-engineering
mass-communication	humanities
plant-breeding	plant-science
literature-in-english,-north-america	science
applied-mechanics	science
logic-and-foundations	science
motor-control	communication
air-traffic-control	communication
public-affairs	communication
public-policy	communication
race-and-ethnicity	analysis
information-systems	analysis
energy-systems	analysis
Elements Taxonomy:337.0465.0
Correct: 147
Precision: 0.4362017804154303
Recall: 0.3161290322580645
F1: 0.36658354114713215
