nutrition	instrumentation
food-processing	manufacturing
methodologies	science
metallurgy	science
physiology	science
electromagnetics	science
food-science	science
food-science	nutrition
networking	computer-science
semantics	computer-science
algorithms	computer-science
artificial-intelligence	computer-science
classics	humanities
mass-communication	humanities
international-relations	humanities
history	humanities
geography	humanities
religion	humanities
philosophy	humanities
theology	humanities
musicology	humanities
public-health	public-affairs
botany	genetics
morphology	linguistics
analysis	mathematics
probability	mathematics
chemistry	mathematics
computer-science	mathematics
fluid-dynamics	mathematics
composition	chemistry
pharmacology	chemistry
information-systems	analysis
phonetics	analysis
pathology	analysis
toxicology	analysis
virology	analysis
ethics	religion
metaphysics	religion
physical-science	religion
astrodynamics	music
playwriting	music
ethnomusicology	music
climate	ecology
epidemiology	neuroscience
archaeological	history
optics	physics
geophysics	physics
biomechanics	mechanical-engineering
os	communication
graphics	communication
syntax	communication
motor-control	communication
music	communication
theatre	communication
networks	communication
mass-communication	communication
air-traffic-control	communication
public-policy	communication
public-affairs	communication
communication	engineering
ergonomics	engineering
aerodynamics	engineering
kinesiology	engineering
ecology	engineering
Elements Taxonomy:306.0465.0
Correct: 143
Precision: 0.4673202614379085
Recall: 0.30752688172043013
F1: 0.3709468223086901
