nutrition	instrumentation
networking	computer-science
semantics	computer-science
classics	humanities
analysis	mathematics
information-systems	analysis
phonetics	analysis
astrodynamics	music
playwriting	music
archaeological	history
os	communication
graphics	communication
syntax	communication
motor-control	communication
music	communication
theatre	communication
communication	engineering
Elements Taxonomy:350.0465.0
Correct: 151
Precision: 0.43142857142857144
Recall: 0.3247311827956989
F1: 0.3705521472392638
