history_of_religion	theology
literature_in_english,_north_america	science
logic_and_foundations	science
nutrition	instrumentation
comparative_politics	genetics
mass_communication	humanities
international_relations	humanities
operational_research	mathematics
ordinary_differential_equations	mathematics
contemporary_art_history	history
physical_science	religion
behavioral_ecology	religion
astrodynamics	music
race_and_ethnicity	analysis
information_systems	analysis
sociology_of_culture	analysis
energy_systems	analysis
Elements Taxonomy:348.0465.0
Correct: 151
Precision: 0.4339080459770115
Recall: 0.3247311827956989
F1: 0.3714637146371464
