compilers	computer_engineering
behavioral_ecology	religion
physical_science	religion
energy_systems	analysis
race_and_ethnicity	analysis
sociology_of_culture	analysis
cultural_history	public_health
networking	computer_science
classics	humanities
history	humanities
religion	humanities
geography	humanities
astrodynamics	music
theatre	communication
music	communication
os	communication
syntax	communication
graphics	communication
air_traffic_control	communication
mineral_physics	physics
microbial_physiology	physiology
comparative_literature	classics
ancient_history	classics
ancient_philosophy	classics
immunopathology	pathology
plant_pathology	pathology
aquatic_ecology	engineering
instrumentation	engineering
molecular_neuroscience	science
systems_neuroscience	science
dairy_science	science
developmental_neuroscience	science
wood_science	science
cellular_neuroscience	science
methodologies	science
poultry_science	science
probability	mathematics
nutrition	instrumentation
paleobiology	environmental_sciences
Elements Taxonomy:331.0465.0
Correct: 148
Precision: 0.4471299093655589
Recall: 0.31827956989247314
F1: 0.3718592964824121
