networking	computer_science
behavioral_ecology	religion
physical_science	religion
mineral_physics	physics
paleobiology	environmental_sciences
american_politics	political_science
aquatic_ecology	engineering
instrumentation	engineering
comparative_literature	classics
ancient_history	classics
ancient_philosophy	classics
classics	humanities
history	humanities
religion	humanities
geography	humanities
immunopathology	pathology
plant_pathology	pathology
theatre	communication
music	communication
os	communication
syntax	communication
graphics	communication
air_traffic_control	communication
astrodynamics	music
community_nutrition	nutrition
molecular_neuroscience	science
systems_neuroscience	science
dairy_science	science
developmental_neuroscience	science
wood_science	science
cellular_neuroscience	science
methodologies	science
poultry_science	science
metallurgy	science
electromagnetics	science
energy_systems	analysis
race_and_ethnicity	analysis
sociology_of_culture	analysis
united_states_history	history
theatre_history	history
archaeological	history
asian_history	history
african_history	history
latin_american_history	history
gender_history	history
history_of_philosophy	history
probability	mathematics
microbial_physiology	physiology
nutrition	instrumentation
cultural_history	public_health
public_health	public_affairs
compilers	computer_engineering
computer_architecture	computer_engineering
Elements Taxonomy:312.0465.0
Correct: 138
Precision: 0.4423076923076923
Recall: 0.2967741935483871
F1: 0.35521235521235517
