compilers	computer_engineering
behavioral_ecology	religion
physical_science	religion
energy_systems	analysis
race_and_ethnicity	analysis
sociology_of_culture	analysis
cultural_history	public_health
astrodynamics	music
theatre	communication
music	communication
os	communication
syntax	communication
graphics	communication
microbial_physiology	physiology
aquatic_ecology	engineering
molecular_neuroscience	science
systems_neuroscience	science
dairy_science	science
developmental_neuroscience	science
probability	mathematics
nutrition	instrumentation
paleobiology	environmental_sciences
Elements Taxonomy:346.0465.0
Correct: 153
Precision: 0.4421965317919075
Recall: 0.32903225806451614
F1: 0.37731196054254007
