nutrition	instrumentation
food-processing	manufacturing
methodologies	science
metallurgy	science
physiology	science
electromagnetics	science
food-science	science
life-science	science
neuroscience	science
microbiology	science
engineering	science
cell-biology	science
zoology	science
geology	science
geophysics	science
earth-science	science
mathematics	science
humanities	science
computer-science	science
food-science	nutrition
networking	computer-science
semantics	computer-science
algorithms	computer-science
artificial-intelligence	computer-science
classics	humanities
mass-communication	humanities
international-relations	humanities
history	humanities
geography	humanities
religion	humanities
philosophy	humanities
theology	humanities
musicology	humanities
linguistics	humanities
psychology	humanities
sociology	humanities
public-health	public-affairs
botany	genetics
morphology	linguistics
genetics	biochemistry
entomology	horticulture
immunopathology	pathology
analysis	mathematics
probability	mathematics
chemistry	mathematics
computer-science	mathematics
fluid-dynamics	mathematics
biochemistry	cell-biology
composition	chemistry
pharmacology	chemistry
information-systems	analysis
phonetics	analysis
pathology	analysis
toxicology	analysis
virology	analysis
ethics	religion
metaphysics	religion
physical-science	religion
astrodynamics	music
playwriting	music
ethnomusicology	music
climate	ecology
epidemiology	neuroscience
archaeological	history
optics	physics
geophysics	physics
biophysics	physics
metaphysics	physics
cosmology	physics
biomechanics	mechanical-engineering
os	communication
graphics	communication
syntax	communication
motor-control	communication
music	communication
theatre	communication
networks	communication
mass-communication	communication
air-traffic-control	communication
public-policy	communication
public-affairs	communication
communication	engineering
ergonomics	engineering
aerodynamics	engineering
kinesiology	engineering
ecology	engineering
manufacturing	engineering
instrumentation	engineering
biomaterials	engineering
oceanography	engineering
robotics	engineering
social-science	engineering
biomedical	engineering
signal-processing	engineering
civil-engineering	engineering
mechanical-engineering	engineering
software-engineering	engineering
systems-engineering	engineering
Elements Taxonomy:278.0465.0
Correct: 139
Precision: 0.5
Recall: 0.2989247311827957
F1: 0.37415881561238223
