entomology	horticulture
metaphysics	physics
cosmology	physics
optics	physics
manufacturing	engineering
instrumentation	engineering
communication	engineering
aerodynamics	engineering
ergonomics	engineering
ecology	engineering
oceanography	engineering
kinesiology	engineering
robotics	engineering
biomaterials	engineering
biomedical	engineering
methodologies	science
electromagnetics	science
metallurgy	science
engineering	science
geology	science
physiology	science
geophysics	science
mathematics	science
ethics	religion
metaphysics	religion
phonetics	analysis
toxicology	analysis
pathology	analysis
virology	analysis
morphology	linguistics
phonology	linguistics
probability	mathematics
analysis	mathematics
archaeological	history
botany	genetics
astrodynamics	music
ethnomusicology	music
playwriting	music
climate	ecology
classics	humanities
history	humanities
geography	humanities
religion	humanities
theology	humanities
musicology	humanities
philosophy	humanities
linguistics	humanities
psychology	humanities
sociology	humanities
composition	chemistry
cosmochemistry	chemistry
pharmacology	chemistry
biostatistics	epidemiology
immunopathology	pathology
theatre	communication
music	communication
networks	communication
syntax	communication
graphics	communication
os	communication
nutrition	instrumentation
epidemiology	neuroscience
Elements Taxonomy:303.0465.0
Correct: 140
Precision: 0.46204620462046203
Recall: 0.3010752688172043
F1: 0.3645833333333333
