compilers	computer_engineering
cultural_history	public_health
energy_systems	analysis
race_and_ethnicity	analysis
sociology_of_culture	analysis
nutrition	instrumentation
paleobiology	environmental_sciences
astrodynamics	music
classics	humanities
history	humanities
molecular_neuroscience	science
systems_neuroscience	science
dairy_science	science
developmental_neuroscience	science
wood_science	science
cellular_neuroscience	science
methodologies	science
poultry_science	science
probability	mathematics
theatre	communication
music	communication
os	communication
syntax	communication
graphics	communication
mineral_physics	physics
aquatic_ecology	engineering
instrumentation	engineering
behavioral_ecology	religion
physical_science	religion
microbial_physiology	physiology
Elements Taxonomy:339.0465.0
Correct: 151
Precision: 0.44542772861356933
Recall: 0.3247311827956989
F1: 0.3756218905472637
