immunopathology	pathology
entomology	horticulture
composition	chemistry
pharmacology	chemistry
biochemistry	chemistry
cosmochemistry	chemistry
biogeochemistry	chemistry
geochemistry	chemistry
food-processing	manufacturing
food-science	nutrition
biomechanics	mechanical-engineering
optics	physics
geophysics	physics
biophysics	physics
metaphysics	physics
cosmology	physics
biostatistics	epidemiology
climate	ecology
communication	engineering
ergonomics	engineering
aerodynamics	engineering
kinesiology	engineering
ecology	engineering
manufacturing	engineering
instrumentation	engineering
biomaterials	engineering
oceanography	engineering
robotics	engineering
social-science	engineering
biomedical	engineering
signal-processing	engineering
civil-engineering	engineering
mechanical-engineering	engineering
software-engineering	engineering
systems-engineering	engineering
information-systems	analysis
phonetics	analysis
pathology	analysis
toxicology	analysis
virology	analysis
genetics	biochemistry
immunology	biochemistry
biophysics	biochemistry
classics	humanities
mass-communication	humanities
international-relations	humanities
history	humanities
geography	humanities
religion	humanities
philosophy	humanities
theology	humanities
musicology	humanities
linguistics	humanities
psychology	humanities
sociology	humanities
archaeological	history
biochemistry	cell-biology
paleontology	zoology
endocrinology	zoology
parasitology	zoology
environmental-health	public-health
criminology	sociology
nutrition	instrumentation
networking	computer-science
semantics	computer-science
algorithms	computer-science
artificial-intelligence	computer-science
software-engineering	computer-science
programming-languages	computer-science
public-health	public-affairs
astrodynamics	music
playwriting	music
ethnomusicology	music
botany	genetics
methodologies	science
metallurgy	science
physiology	science
electromagnetics	science
food-science	science
life-science	science
neuroscience	science
microbiology	science
engineering	science
cell-biology	science
zoology	science
geology	science
geophysics	science
earth-science	science
mathematics	science
humanities	science
computer-science	science
physical-science	science
social-science	science
political-science	science
morphology	linguistics
phonology	linguistics
political-science	social-science
anthropology	social-science
economics	social-science
os	communication
graphics	communication
syntax	communication
motor-control	communication
music	communication
theatre	communication
networks	communication
mass-communication	communication
air-traffic-control	communication
public-policy	communication
public-affairs	communication
epidemiology	neuroscience
ethics	religion
metaphysics	religion
physical-science	religion
analysis	mathematics
probability	mathematics
chemistry	mathematics
computer-science	mathematics
fluid-dynamics	mathematics
physics	mathematics
meteorology	oceanography
Elements Taxonomy:244.0465.0
Correct: 121
Precision: 0.4959016393442623
Recall: 0.26021505376344084
F1: 0.34132581100141046
