id	source	target
0	behavioral ecology	religion
1	behavioral ecology	ecology
2	behavioral ecology	communication
3	international relations	humanities
4	social science	science
5	social science	engineering
6	social science	chemistry
7	social science	physics
8	biostatistics	epidemiology
9	geotechnical engineering	engineering
10	geotechnical engineering	geography
11	rural sociology	sociology
12	plant pathology	horticulture
13	plant pathology	plant science
14	wood science	science
15	syntax	communication
16	syntax	computational linguistics
17	syntax	analysis
18	french linguistics	linguistics
19	inorganic chemistry	organic chemistry
20	inorganic chemistry	chemistry
21	comparative nutrition	nutrition
22	philosophy of science	religion
23	philosophy of science	philosophy
24	morphology	botany
25	morphology	soil science
26	morphology	paleontology
27	morphology	paleobiology
28	morphology	communication
29	morphology	geology
30	morphology	analysis
31	morphology	syntax
32	morphology	parasitology
33	morphology	linguistics
34	morphology	science
35	morphology	composition
36	morphology	applied linguistics
37	morphology	history
38	physical science	science
39	physical science	religion
40	behavioral economics	science
41	behavioral economics	economics
42	behavioral economics	psychology
43	behavioral economics	economic theory
44	networks	information systems
45	networks	methodologies
46	networks	communication
47	networks	engineering
48	networks	computer science
49	networks	networking
50	networks	mathematics
51	geography	religion
52	geography	engineering
53	geography	sociology
54	geography	analysis
55	geography	humanities
56	united states history	history
57	linguistics	botany
58	linguistics	humanities
59	linguistics	communication
60	linguistics	analysis
61	linguistics	social history
62	linguistics	mathematics
63	linguistics	philosophy of science
64	linguistics	geography
65	sociolinguistics	linguistics
66	asian history	history
67	materials science	chemistry
68	materials science	science
69	materials science	physical processes
70	materials science	food science
71	materials science	engineering
72	materials science	environmental sciences
73	materials science	chemical engineering
74	materials science	manufacturing
75	cognitive neuroscience	science
76	cognitive neuroscience	neuroscience
77	cognitive neuroscience	psychology
78	cognitive neuroscience	computer science
79	public affairs	communication
80	parasitology	zoology
81	control theory	mathematics
82	control theory	engineering
83	control theory	analysis
84	thermodynamics	engineering
85	thermodynamics	chemical engineering
86	thermodynamics	polymer chemistry
87	theatre history	theatre
88	theatre history	history
89	quantum physics	mathematics
90	quantum physics	physics
91	biomedical	engineering
92	biomedical	analysis
93	clinical psychology	psychology
94	health psychology	psychology
95	community nutrition	nutrition
96	health communication	communication
97	pathogenic microbiology	microbiology
98	cultural history	public health
99	cultural history	american studies
100	cultural history	history
101	engineering science	science
102	english language and literature	humanities
103	nuclear physics	engineering
104	nuclear physics	physics
105	cosmochemistry	chemistry
106	signal processing	communication
107	signal processing	engineering
108	signal processing	computer science
109	signal processing	dynamic systems
110	signal processing	electrical engineering
111	signal processing	mathematics
112	pharmacology	biochemistry
113	pharmacology	medicinal chemistry
114	pharmacology	engineering
115	pharmacology	chemistry
116	pharmacology	analysis
117	paleontology	zoology
118	diplomatic history	european history
119	diplomatic history	history
120	neurolinguistics	linguistics
121	public health	ecology
122	public health	humanities
123	public health	public affairs
124	public health	engineering
125	public health	toxicology
126	entomology	horticulture
127	entomology	zoology
128	entomology	ecology
129	structural engineering	engineering
130	human geography	geography
131	human geography	humanities
132	pathology	linguistics
133	pathology	genetics
134	pathology	psychology
135	pathology	probability
136	pathology	communication
137	pathology	physical processes
138	pathology	analysis
139	pathology	religion
140	pathology	engineering
141	pathology	plant pathology
142	pathology	neuroscience
143	pathology	composition
144	pathology	criminology
145	ethics and political philosophy	ethics
146	social psychology	sociology
147	social psychology	psychology
148	social psychology	social science
149	immunology	humanities
150	immunology	biochemistry
151	immunology	parasitology
152	immunology	immunopathology
153	immunology	engineering
154	immunology	neuroscience
155	philosophy of language	epistemology
156	philosophy of language	philosophy
157	philosophy of language	computer science
158	food processing	manufacturing
159	german linguistics	linguistics
160	anthropological linguistics	linguistics
161	pragmatics	communication
162	pragmatics	computational linguistics
163	philosophy of religion	history of philosophy
164	philosophy of religion	philosophy
165	philosophy of religion	philosophy of mind
166	philosophy of religion	theology
167	philosophy of religion	religion
168	philosophy of religion	metaphysics
169	atmospheric sciences	science
170	atmospheric sciences	environmental sciences
171	microbial physiology	physiology
172	metallurgy	materials science
173	metallurgy	science
174	metallurgy	engineering
175	metallurgy	physical science
