id	source	target
0	anthropology	social science
1	earth science	social science
2	economics	social science
3	ethics	social science
4	ethnomusicology	social science
5	food science	social science
6	geology	social science
7	life science	social science
8	physiology	social science
9	political science	social science
10	political theory	social science
11	social psychology	social science
12	numerical analysis	geotechnical engineering
13	pathology	plant pathology
14	morphology	syntax
15	phonology	french linguistics
16	cosmology	philosophy of science
17	economics	philosophy of science
18	metaphysics	philosophy of science
19	probability	philosophy of science
20	anthropology	physical science
21	cosmology	physical science
22	earth science	physical science
23	fluid mechanics	physical science
24	geology	physical science
25	geophysics	physical science
26	life science	physical science
27	metallurgy	physical science
28	optics	physical science
29	physiology	physical science
30	history	networks
31	algebra	geography
32	botany	geography
33	ethics	geography
34	geology	geography
35	geotechnical engineering	geography
36	human geography	geography
37	linguistics	geography
38	meteorology	geography
39	music	geography
40	philosophy	geography
41	political science	geography
42	psychology	geography
43	anthropological linguistics	linguistics
44	applied linguistics	linguistics
45	computational linguistics	linguistics
46	discourse linguistics	linguistics
47	french linguistics	linguistics
48	german linguistics	linguistics
49	morphology	linguistics
50	neurolinguistics	linguistics
51	pathology	linguistics
52	phonology	linguistics
53	psycholinguistics	linguistics
54	sociolinguistics	linguistics
55	spanish linguistics	linguistics
56	typological linguistics	linguistics
57	metallurgy	materials science
58	economics	public affairs
59	political science	public affairs
60	public health	public affairs
61	immunology	parasitology
62	molecular biology	parasitology
63	morphology	parasitology
64	analysis	thermodynamics
65	algebra	quantum physics
66	cosmology	quantum physics
67	optics	quantum physics
68	ethics	biomedical
69	geology	cultural history
70	fluid mechanics	engineering mechanics
71	economics	engineering science
72	algebra	signal processing
73	fluid dynamics	signal processing
74	anthropology	paleontology
75	morphology	paleontology
76	anthropology	public health
77	cultural history	public health
78	environmental health	public health
79	software engineering	structural engineering
80	immunopathology	pathology
81	microbiology	pathology
82	social psychology and interaction	social psychology
83	immunology of infectious disease	immunology
84	computational biology	hardware systems
85	ethics	philosophy of religion
86	history	set theory
87	philosophy of religion	philosophy of mind
88	psychology	philosophy of mind
89	semantics	philosophy of mind
90	geology	civil engineering
91	compilers	computer engineering
92	computer architecture	computer engineering
93	physics	computer engineering
94	software engineering	computer engineering
95	chemistry	bacteriology
96	physical chemistry	polymer science
97	physics	polymer science
98	science	polymer science
99	aquatic ecology	ecology
100	behavioral ecology	ecology
101	botany	ecology
102	climate	ecology
103	entomology	ecology
104	evolutionary ecology	ecology
105	geology	ecology
106	meteorology	ecology
