92271	aerodynamics	engineering science
92221	aerodynamics	physics
92327	aerodynamics	engineering
92222	aerodynamics	aerospace engineering
92365	aerodynamics	mathematics
99092	aerospace engineering	engineering
66301	african history	history
23577	agronomy	science
23581	agronomy	animal science
23668	agronomy	botany
23774	agronomy	social science
141493	air traffic control	communication
110843	algebra	economic theory
110856	algebra	mathematics
110928	algebra	chemistry
110781	algebra	computer science
110921	algebra	quantum physics
15127	algebraic geometry	algebra
15244	algebraic geometry	mathematics
15100	algebraic geometry	physics
156407	algorithms	mathematics
156393	algorithms	applied mathematics
901	american politics	political science
81572	american studies	ethnic studies
81566	american studies	humanities
5773	analysis	mathematics
5751	analysis	genetics
5735	analysis	engineering
5698	analysis	computer science
5537	analysis	science
144302	analytical chemistry	chemistry
181306	ancient history	history
45282	ancient philosophy	philosophy
45257	ancient philosophy	history of philosophy
58812	animal science	philosophy
58756	animal science	science
184508	anthropological linguistics	linguistics
171327	anthropology	religion
171362	anthropology	chemistry
171320	anthropology	composition
171316	anthropology	psychology
171315	anthropology	humanities
109642	applied linguistics	linguistics
157309	applied mathematics	mathematics
13680	aquatic ecology	oceanography
13853	aquatic ecology	engineering
13575	aquatic ecology	ecology
167766	artificial intelligence	software engineering
167720	artificial intelligence	philosophy of science
167708	artificial intelligence	psychology
137108	asian history	history
96731	astronomy and astrophysics	physics
10047	astrophysics and astronomy	science
10139	astrophysics and astronomy	physics
178271	atmospheric sciences	science
103071	bacteriology	microbiology
103225	bacteriology	pathology
74294	behavioral ecology	communication
74362	behavioral ecology	religion
74010	behavioral ecology	ecology
89646	behavioral economics	economic theory
89685	behavioral economics	psychology
89309	behavioral economics	economics
106563	biochemical nutrition	nutrition
37199	biochemistry	physics
37215	biochemistry	cell biology
37389	biochemistry	plant science
37107	biochemistry	science
37415	biochemistry	chemistry
130662	biological engineering	engineering
130746	biological engineering	plant science
127118	biological psychology	psychology
89280	biomaterials	chemistry
89069	biomaterials	materials science
89170	biomaterials	engineering
145545	biomechanical engineering	engineering
145448	biomechanical engineering	mechanical engineering
170009	biophysics	chemistry
98148	botany	geology
98206	botany	genetics
98265	botany	religion
98300	botany	chemistry
98313	botany	geography
66991	cancer biology	microbiology
105857	cell biology	engineering
105873	cell biology	genetics
105967	cell biology	chemistry
105777	cell biology	microbiology
28421	cellular neuroscience	neuroscience
28538	cellular neuroscience	science
137731	cellular physiology	physiology
203274	chemical engineering	engineering
196180	chemistry	geography
10696	civil engineering	engineering
10734	civil engineering	mathematics
10498	civil engineering	science
125834	classical archaeology and art history	classics
27516	classical literature and philology	classics
2450	classics	networks
2641	classics	humanities
2266	classics	analysis
2646	classics	composition
2288	classics	music
151531	climate	geography
166997	clinical nutrition	nutrition
79312	clinical psychology	psychology
134524	cognitive neuroscience	science
134406	cognitive neuroscience	neuroscience
134785	cognitive neuroscience	psychology
84209	cognitive psychology	engineering
84272	cognitive psychology	humanities
84273	cognitive psychology	psychology
84284	cognitive psychology	religion
149642	communication	mathematics
149667	communication	humanities
149704	communication	instrumentation
149727	communication	geography
149668	communication	psychology
93687	communication technology and new media	communication
70483	community nutrition	nutrition
104568	community psychology	psychology
200822	comparative nutrition	nutrition
130064	comparative physiology	physiology
181301	comparative politics	political science
46739	compilers	computer science
46736	compilers	computer engineering
177225	composition	chemistry
133835	computational biology	genetics
133819	computational biology	engineering
133857	computational biology	mathematics
32521	computational linguistics	linguistics
32829	computational linguistics	methodologies
32646	computational linguistics	clinical psychology
85365	computational neuroscience	science
85247	computational neuroscience	neuroscience
85562	computational neuroscience	engineering
22833	computer architecture	computer engineering
22836	computer architecture	computer science
22873	computer architecture	engineering
22675	computer architecture	science
128407	computer engineering	engineering
128370	computer engineering	computer science
129759	computer science	social science
129870	computer science	chemistry
129760	computer science	engineering
129563	computer science	science
129823	computer science	humanities
129798	computer science	mathematics
154460	condensed matter physics	physics
154675	condensed matter physics	chemistry
197993	contemporary art history	history
24536	continental philosophy	philosophy
24732	continental philosophy	anthropology
126713	cosmochemistry	chemistry
65612	cosmology	physics
65608	cosmology	astronomy and astrophysics
65577	cosmology	philosophy
65794	cosmology	philosophy of science
65773	cosmology	anthropology
179192	cosmology, relativity, and gravity	cosmology
17263	crop sciences	science
38911	cultural anthropology	science
39108	cultural anthropology	social science
39164	cultural anthropology	anthropology
39172	cultural anthropology	humanities
192130	cultural history	history
162035	dairy science	science
87286	developmental biology	microbiology
87276	developmental biology	cell biology
75894	developmental neuroscience	science
75776	developmental neuroscience	neuroscience
202436	developmental psychology	psychology
199692	digital circuits	circuits
14762	digital communications	communication
14755	digital communications	engineering
186267	diplomatic history	history
39286	discourse linguistics	linguistics
1119	dynamical systems	physics
1249	dynamical systems	applied mathematics
1259	dynamical systems	methodologies
1263	dynamical systems	mathematics
1289	dynamical systems	psychology
182657	dynamics/dynamical systems	dynamical systems
12049	earth science	engineering
11845	earth science	meteorology
11772	earth science	physical science
12048	earth science	social science
11851	earth science	science
21069	ecology	engineering
20871	ecology	science
20928	ecology	philosophy
20950	ecology	zoology
21124	ecology	anthropology
26157	econometrics	political science
25832	econometrics	science
63011	economic history	social science
62693	economic history	history
5347	economics	humanities
5284	economics	engineering
5283	economics	social science
5086	economics	science
5359	economics	religion
91463	electrical engineering	mathematics
91388	electrical engineering	computer science
91385	electrical engineering	computer engineering
91319	electrical engineering	physics
91425	electrical engineering	engineering
101347	electromagnetics	engineering
101354	electromagnetics	communication
55677	endocrinology	zoology
55598	endocrinology	science
55906	endocrinology	chemistry
55648	endocrinology	physiology
