22634	physiology	science	1.00000
76654	probability	mathematics	1.00000
4594	geology	science	1.00000
47470	political science	social science	1.00000
145206	analysis	mathematics	1.00000
10592	optics	physics	1.00000
70791	algebra	mathematics	1.00000
36615	geophysics	science	1.00000
11710	numerical analysis	mathematics	1.00000
15418	microbiology	science	1.00000
95596	algebraic geometry	mathematics	1.00000
1888	metallurgy	science	1.00000
9139	phonology	linguistics	1.00000
19959	anthropology	social science	1.00000
24469	economics	social science	1.00000
119	morphology	linguistics	1.00000
10457	optics	science	1.00000
88180	environmental health	public health	1.00000
133439	graphics	communication	1.00000
46888	partial differential equations	mathematics	1.00000
48376	sociolinguistics	linguistics	1.00000
41025	dynamical systems	mathematics	1.00000
184441	artificial intelligence	computer science	1.00000
40119	history	humanities	1.00000
19928	anthropology	science	1.00000
39803	history	social science	1.00000
178569	communication	engineering	1.00000
33768	music	communication	1.00000
45982	philosophy	humanities	1.00000
96947	software engineering	computer science	1.00000
174961	manufacturing	engineering	0.99999
33458	music	science	0.99999
134833	number theory	mathematics	0.99744
63124	set theory	mathematics	0.99737
44352	social psychology	psychology	0.99725
186236	chemical engineering	engineering	0.99713
31203	earth science	science	0.99696
31643	ethnomusicology	music	0.99657
11845	psycholinguistics	linguistics	0.99657
155104	thermodynamics	chemical engineering	0.99657
51396	algorithms	computer science	0.99657
44313	social psychology	social science	0.99611
126253	mechanical engineering	engineering	0.99533
189844	electrical engineering	engineering	0.99498
89271	instrumentation	engineering	0.99445
45666	philosophy	social science	0.99399
28046	animal science	science	0.99379
11259	applied mathematics	mathematics	0.99363
105408	physical chemistry	chemistry	0.99345
107311	structural engineering	engineering	0.99268
51838	aerospace engineering	engineering	0.99268
96938	software engineering	engineering	0.99262
109918	inorganic chemistry	chemistry	0.99257
9895	civil engineering	engineering	0.99253
110468	computer engineering	engineering	0.99223
145653	theology	humanities	0.99174
113625	biological engineering	engineering	0.99169
5963	philosophy of language	philosophy	0.99163
4032	materials science	engineering	0.99149
107663	medicinal chemistry	chemistry	0.99147
85564	analytical chemistry	chemistry	0.99099
24438	economics	science	0.99090
2374	applied linguistics	linguistics	0.99080
184883	systems engineering	engineering	0.99080
62181	organizational communication	communication	0.99015
170000	industrial engineering	engineering	0.99001
27033	geotechnical engineering	engineering	0.98949
1793	cognitive neuroscience	neuroscience	0.98916
167692	rural sociology	sociology	0.98904
78394	race and ethnicity	sociology	0.98901
25794	medieval history	history	0.98881
144304	geometry and topology	mathematics	0.98850
73493	history of religion	humanities	0.98838
72337	community nutrition	nutrition	0.98810
118083	molecular genetics	genetics	0.98746
97856	developmental neuroscience	neuroscience	0.98705
24343	computational neuroscience	neuroscience	0.98705
108101	philosophy of religion	metaphysics	0.98566
14485	behavioral economics	economics	0.98558
177223	classics	humanities	0.98475
78343	race and ethnicity	analysis	0.98468
35115	semiconductor and optical materials	organic chemistry	0.98393
132939	demography, population, and ecology	microbial ecology	0.98393
132813	demography, population, and ecology	broadcast studies	0.98393
177702	agricultural and resource economics	materials science	0.98393
35095	semiconductor and optical materials	external galaxies	0.98393
132815	demography, population, and ecology	german literature	0.98393
34831	semiconductor and optical materials	political science	0.98393
132911	demography, population, and ecology	ocean engineering	0.98393
34753	semiconductor and optical materials	psycholinguistics	0.98393
132862	demography, population, and ecology	forest management	0.98393
132885	demography, population, and ecology	molecular biology	0.98393
177713	agricultural and resource economics	religious thought	0.98393
177715	agricultural and resource economics	civil engineering	0.98393
35157	semiconductor and optical materials	polymer chemistry	0.98393
132080	systems and integrative engineering	organic chemistry	0.98393
132942	demography, population, and ecology	signal processing	0.98393
35075	semiconductor and optical materials	signal processing	0.98393
34824	semiconductor and optical materials	social psychology	0.98393
132667	demography, population, and ecology	political history	0.98393
177720	agricultural and resource economics	psycholinguistics	0.98393
132633	demography, population, and ecology	food microbiology	0.98393
35072	semiconductor and optical materials	microbial ecology	0.98393
132636	demography, population, and ecology	american politics	0.98393
34800	semiconductor and optical materials	political history	0.98393
132620	demography, population, and ecology	psycholinguistics	0.98393
132641	demography, population, and ecology	applied mechanics	0.98393
132615	demography, population, and ecology	civil engineering	0.98393
132613	demography, population, and ecology	religious thought	0.98393
132684	demography, population, and ecology	dynamical systems	0.98393
132712	demography, population, and ecology	ceramic materials	0.98393
35089	semiconductor and optical materials	genetic nutrition	0.98393
34774	semiconductor and optical materials	applied mechanics	0.98393
34816	semiconductor and optical materials	dynamical systems	0.98393
132602	demography, population, and ecology	materials science	0.98393
132134	systems and integrative engineering	immunoprophylaxis	0.98393
34769	semiconductor and optical materials	american politics	0.98393
132692	demography, population, and ecology	social psychology	0.98393
132122	systems and integrative engineering	polymer chemistry	0.98393
34766	semiconductor and optical materials	food microbiology	0.98393
132699	demography, population, and ecology	political science	0.98393
132722	demography, population, and ecology	health psychology	0.98393
177733	agricultural and resource economics	food microbiology	0.98393
12607	modern art and architecture history	polymer chemistry	0.98393
131790	systems and integrative engineering	social psychology	0.98393
12522	modern art and architecture history	microbial ecology	0.98393
12525	modern art and architecture history	signal processing	0.98393
131797	systems and integrative engineering	political science	0.98393
12539	modern art and architecture history	genetic nutrition	0.98393
12545	modern art and architecture history	external galaxies	0.98393
12565	modern art and architecture history	organic chemistry	0.98393
12619	modern art and architecture history	immunoprophylaxis	0.98393
177736	agricultural and resource economics	american politics	0.98393
34945	semiconductor and optical materials	broadcast studies	0.98393
34947	semiconductor and optical materials	german literature	0.98393
178136	agricultural and resource economics	immunoprophylaxis	0.98393
178124	agricultural and resource economics	polymer chemistry	0.98393
131810	systems and integrative engineering	ceramic materials	0.98393
178083	agricultural and resource economics	organic chemistry	0.98393
178063	agricultural and resource economics	external galaxies	0.98393
131782	systems and integrative engineering	dynamical systems	0.98393
131765	systems and integrative engineering	political history	0.98393
12494	modern art and architecture history	ocean engineering	0.98393
12467	modern art and architecture history	molecular biology	0.98393
12294	modern art and architecture history	ceramic materials	0.98393
12274	modern art and architecture history	social psychology	0.98393
12304	modern art and architecture history	health psychology	0.98393
131700	systems and integrative engineering	materials science	0.98393
12266	modern art and architecture history	dynamical systems	0.98393
131711	systems and integrative engineering	religious thought	0.98393
131713	systems and integrative engineering	civil engineering	0.98393
131718	systems and integrative engineering	psycholinguistics	0.98393
12395	modern art and architecture history	broadcast studies	0.98393
12397	modern art and architecture history	german literature	0.98393
131731	systems and integrative engineering	food microbiology	0.98393
131734	systems and integrative engineering	american politics	0.98393
131739	systems and integrative engineering	applied mechanics	0.98393
12444	modern art and architecture history	forest management	0.98393
12249	modern art and architecture history	political history	0.98393
178057	agricultural and resource economics	genetic nutrition	0.98393
178043	agricultural and resource economics	signal processing	0.98393
178040	agricultural and resource economics	microbial ecology	0.98393
132037	systems and integrative engineering	microbial ecology	0.98393
177915	agricultural and resource economics	german literature	0.98393
132054	systems and integrative engineering	genetic nutrition	0.98393
177913	agricultural and resource economics	broadcast studies	0.98393
35017	semiconductor and optical materials	molecular biology	0.98393
