climate	ecology
composition	chemistry
astrodynamics	music
information-systems	analysis
phonetics	analysis
toxicology	analysis
pathology	analysis
virology	analysis
os	communication
syntax	communication
theatre	communication
graphics	communication
music	communication
networks	communication
public-policy	communication
public-affairs	communication
public-health	public-affairs
networking	computer-science
semantics	computer-science
algorithms	computer-science
international-relations	humanities
mass-communication	humanities
classics	humanities
musicology	humanities
history	humanities
geography	humanities
religion	humanities
probability	mathematics
analysis	mathematics
archaeological	history
circuits	electrical-engineering
botany	genetics
nutrition	instrumentation
morphology	linguistics
biomechanics	mechanical-engineering
entomology	horticulture
epidemiology	neuroscience
ethics	religion
metaphysics	religion
ergonomics	engineering
communication	engineering
methodologies	science
metallurgy	science
electromagnetics	science
physiology	science
Elements Taxonomy:320.0465.0
Correct: 144
Precision: 0.45
Recall: 0.3096774193548387
F1: 0.3668789808917198
